                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.59383,                0.74845,                 1.2117,                0.92943,                0.94051,                0.95861,                0.84383,                0.57397,                0.51426,                 1.1883,              0.0011139,              0.0011139,              0.0011139
                     36,                0.57627,                0.71607,                 1.2058,                0.97213,                0.94334,                0.96792,                0.85106,                0.55524,                0.44119,                 1.1745,              0.0011098,              0.0011098,              0.0011098
                     37,                0.59376,                0.75218,                 1.2243,                0.96017,                 0.9532,                0.96316,                0.85034,                0.53375,                0.46725,                 1.1342,              0.0011056,              0.0011056,              0.0011056
                     38,                0.57331,                0.69822,                 1.2025,                0.94607,                0.93395,                0.95489,                0.83785,                0.56675,                0.57905,                 1.1703,              0.0011015,              0.0011015,              0.0011015
                     39,                0.58324,                0.72257,                 1.2057,                0.93282,                0.95482,                 0.9641,                0.85764,                0.53245,                0.50831,                 1.1597,              0.0010974,              0.0010974,              0.0010974
                     40,                0.56337,                 0.6984,                 1.1976,                0.96236,                0.96489,                0.97223,                0.85947,                0.52633,                0.46194,                 1.1313,              0.0010933,              0.0010933,              0.0010933
                     41,                0.57833,                0.70675,                 1.1972,                0.97456,                0.95261,                0.97247,                0.86464,                0.52394,                0.41136,                 1.1279,              0.0010891,              0.0010891,              0.0010891
                     42,                 0.5608,                 0.6967,                  1.198,                0.94656,                0.92663,                0.96201,                0.85332,                0.55818,                0.57443,                 1.1521,               0.001085,               0.001085,               0.001085
                     43,                0.56315,                0.69383,                 1.1925,                  0.979,                0.95234,                0.97725,                0.86579,                0.53409,                 0.4596,                 1.1662,              0.0010809,              0.0010809,              0.0010809
                     44,                0.57277,                0.70667,                 1.1989,                0.94077,                0.94622,                0.96468,                0.85838,                0.52987,                0.43833,                 1.1319,              0.0010768,              0.0010768,              0.0010768
                     45,                0.56335,                0.67648,                 1.1922,                 0.9503,                0.94647,                0.96904,                0.85542,                0.52479,                 0.4843,                 1.1364,              0.0010726,              0.0010726,              0.0010726
                     46,                0.56517,                 0.6664,                 1.1816,                0.96713,                0.96965,                0.97254,                0.85677,                0.54933,                0.46119,                 1.1341,              0.0010685,              0.0010685,              0.0010685
                     47,                0.54946,                0.66851,                  1.182,                0.96514,                0.96153,                0.97611,                0.86305,                0.50264,                 0.4253,                 1.1128,              0.0010644,              0.0010644,              0.0010644
                     48,                0.56558,                0.66794,                 1.1762,                0.94534,                0.93272,                0.95839,                 0.8504,                  0.537,                0.44845,                 1.1545,              0.0010603,              0.0010603,              0.0010603
                     49,                0.54803,                 0.6707,                 1.1783,                0.95293,                0.93929,                0.96759,                0.86169,                0.53761,                0.46719,                 1.1407,              0.0010561,              0.0010561,              0.0010561
                     50,                0.55319,                0.66292,                 1.1813,                0.96303,                 0.9522,                0.96955,                0.86777,                0.55024,                0.47897,                 1.1437,               0.001052,               0.001052,               0.001052
                     51,                0.53647,                0.61623,                 1.1629,                0.96315,                0.95398,                0.97221,                0.87846,                0.51579,                0.46468,                 1.1003,              0.0010479,              0.0010479,              0.0010479
                     52,                0.53382,                0.62247,                 1.1692,                0.96936,                0.96948,                0.97779,                0.87569,                0.49868,                0.39657,                 1.0975,              0.0010438,              0.0010438,              0.0010438
                     53,                0.54304,                0.62125,                 1.1767,                0.97347,                0.94377,                0.97316,                0.85516,                0.53107,                0.49002,                 1.1279,              0.0010396,              0.0010396,              0.0010396
                     54,                0.55239,                0.61006,                 1.1698,                0.94565,                0.96965,                0.97579,                0.87006,                0.49375,                0.37969,                 1.0958,              0.0010355,              0.0010355,              0.0010355
                     55,                 0.5406,                0.61422,                 1.1702,                 0.9723,                 0.9534,                0.97069,                 0.8749,                0.51164,                0.42924,                 1.0935,              0.0010314,              0.0010314,              0.0010314
